people
"""Almost Everybody"""
"""CREW"" including Jack Abel"
"""Chuck"""
"""Grass"" Green"
"""Jack's Little Helpers"""
"""Lucky"" Simonds"
"""Many Hands"""
"""Max"" Scheele"
"""Mr Nels"""
"""O'K"""
"""Patch"" Morgan"
"""Squinty"" Rotunda"
"""Taesu"""
"""a host of others"""
"""after Bob Kane"")"
$techgnotic
& Co
' Murphy Anderson
'Bu Tone
'Bu Tones
'Bu Tones [Interior]
'Doc' DMC McKeever
'Doc' Larry Brnicky
'Doc' Smythe
'Mad' Castrillo
'Major Thorpe'
'Mike Uslan
'Omar Tahan'
'Puppeteer' Lee
'Swing Sista'
(
(Badger inset illustration
(Black
(Page
(Various
(Vertaling
(Western Publishing Production Shop
(adaptation
(black and white photo
(blurb
(color photo
(from a screenplay by Geoffrey Homes and Lewis R Foster
(graytones
(illo
(illustration
(logo illustration
(manus
(målning
(painted
(painted}
(painting
(photo
(photograph
(photographs
(photograph}
(photos
(possible Jesse Marsh
(separations
(signed
(signed [as moñ-z]
(spot illustration
(spot illustrations
(tofarget
(various in cover thumbnails
(vertaling
(översättning
)
+
",Jon D'Agostino,,war,,,,WWII cover,6
490530,More Than A Man!,,171691,,Jack Abel,,,,,war,,,,,19
490531,I Had The Japs Surrounded,,171691,,,,,,,war,,,,,19
490532,The Long Retreat,,171691,,,,,,,war,,,,,19
490533,A Medic Named Smith,,171692,,,,,typeset,,war,,,,Korean War cover,6
490534,The Warning Voice,,171692,Joe Gill,Charles Nicholas,Vince Alascia,,typeset,,war,,,,WWII story,19
490535,Operation Softie,,171692,,,,,Jon D'Agostino,,war,,,,,19
490536,Shoot On Sight,,171692,Joe Gill,Bill Molno,Bill Molno,,typeset,,war,,,,Korean War story,19
490537,The Medic Named Smith!,,171692,Joe Gill,,,,typeset,,war,,,,Korean War story,19
490538,Kronvitnet,Donald Duck,303715,"
- Paul Becton
/
1
1 side)
1930s sequences)
1st 2nd & 4th illustrations)
1st GA illustration)
2 Live Crew
2 Live Crew [Luther Campbell
2 Moore Artists
2 panels art)
20th Century Fox
20th Century Fox/ABC-TV
2B Studio
2Bstudio
2nd to last panel)
2nd to last panel]
3 new pages were added to the end of the story for the graphic novel
3-D
3-D separation production by Neal Adams and Alex Jay
3/Design Studio
3D CGI by Wildstorm FX
3D Process by Ray Zone
3D by Bob and Nancy Fritsch
3D mechanical illustrator)
3Drender
3martstudio
424 Studio
424 Studios
5 Scar Jeneral
6/- [0-0-6 AUP]
7th Orange
A
A  E Hayward
A  Hewitt
A A Attanasio
A A Grant
A A M Schuurmans
A A Perry
A A Wallgren [as Wally]
A A Wyn
A Ahearn
A Albert
A Albores
A Alice
A Altarriba
A Aprile
A Aqueras
A Arul Kumar
A Audhild Solberg
A B
A B Collins
A B Crews
A B Frost
A Bassi
A Benny
A Bentley
A Bernard
A Bertram Chandler
A Blasco
A Bonati
A Bozzi
A Bradford
A Brantegem
A Brault
A Brewster
A Brodmann
A Bron
A Brygmann
A Buchanan
A Buck
A Buylla
A C  Hollingsworth
A C Allan
A C Bolton
A C Crispin
A C Farley
A C Fera [as Fera]
A C Gilbert
A C Hollingsworth
A C Hollingsworth [as A C Holly]
A C Hollingsworth [as Alec Hope]
A C Hollingsworth [as Alex Hope]
A C Lopes
A C W Van Kruining
A C Zamudio
A Camerata [as A Camy]
A Canaux
A Canthus
A Carde
A Carney Allan
A Carrasco
A Carter
A Chauffour
A Christian Black
A Christian Black [as A Xtion Black]
A Cochrane
A Corres
A Cossio
A Cramer
A Cranler
A Cremascoli
A Croft
A Crossley
A Culverwell
A D Carter
A D Carter [as Ad Carter]
A D Condo
A D Coulter
A D Kiefer
A D Kiefer [as A D K]
A D Lee
A D Schöpps
A Daix
A Dalena
A Dalhouse
A Dan
A David Lewis
A De Keroset
A De Martini
A Del Vecchio
A Dias de Deus
A Diaz
A Dunnett
A Duran
A E  Hayward
A E Carruthers
A E Hayward
A E Howard
A E Van Vogt
A Edwin Macon
A Elias
A Elkes
A F
A F Hopkins
A F Sogio
A Frentzel
A Gallardo
A Garcia
A Gayle
A Gedeaux
A Gesali
A Gill
A Greene
A Guerrero
A Guillory
A Guiral
A H
A H Johnston
A H Palacios
A Haddersley
A Haroec
A Harris
A I
A Isanda
A J
A J Allen
A J Castanon
A J Duric
A J Ferreira
A J Fierro
A J Garrovillo
A J Geralds
A J Glasser
A J Gordon Petersen
A J Leiberman
A J Lieberman
A J May
A J McGee
A J Tabbers
A J Toos
A Jay
A Jaye Williams
A Jefer
A Joswiak
A K Patranabish
A Kaotic
A Kapek
A Kaplan
A Katteswari
A Kincaid
A Kleinbergen
A L Alexander
A L Allen
A L Borth
A L Kirby
A L Petersen
A L Peterson
A L Sanchez
A L Sirois
A Langford
A Lawson
A Leray
A Leslie Ross
A Lisle
A Llloyd
A Lon
A M Dell'Acqua
A M Ferré
A M Froehlich
A M Kirby
A M Langworthy
A Marcet
A Mariño Ruiz
A Martin
A Martinez
A Martinez Medrano
A Martinez [Continuity Studios]
A Martinez [as Martinez]
A Maudsley
A McKay
A McWilliams
A Meader
A Mills
A Moody
A More
A Moré
A Mounika
A N Howe
A N Other
A Naresh
A Naveen Kumar
A Newman
A Nouwens
A Oliver
A Owsley
A P Deepak
A P Furtado
A Padilla
A Parasuraman
A Parent
A Perez
A Petersen
A Pollini
A Power
A Pozzoli
A Prohias
A Prosser
A Pérez Gallardo
A R Lane
A Reader
A Redondo
A Redondo Egea
A Reynoso
A Ridgeway
A Ridgway
A Rigdway
A Rimbaud
A Roca
A Rosen
A Rowley Hilliard
A S Blaustein
A S Curtis
A S Habbick
A S L Brodsky
A S Mora
A S Van Eerde
A Sala
A Salek
A Scheuren
A Sciarra
A Sciarra [plot]
A Segura
A Setyo Hadi [as SHOEST]
A Sorel
A Stalner
A Stigliani
A Stone
A Street
A Street [as Sotocolor's A Street]
A Street of SotoColor
A Street of Stotocolor
A Sylum
A Talbot Roche
A Tallarico
A Tannenbaum-Sygma
A Taylor
A Thiruneelakandan
A Thompson
A Thorsell
A Todaro
A Tomie
A Toussaint
A Tyson
A Urtiago
A Valero
A Van Bruggen
A Vasquez
A Ventura
A Vivas
A W Brewerton
A W Dalby-Phillips
A W Henderson
A W Henderson [Ron Leighton]
A W Henderson [as Ron Leighton]
A W Kapfer
A W Nugent
A W Nuggent
A Waite
A Weinberg
A Williams
A Worden
A Zampa
A de Martini
A van Vlaardingen
A-203
A-Zero
AA Milne
AAaRGH
AAaRGh
AAntonio Colmeiro [as Colmeiro]
AB Frost
AB Schultz
AB Shri Vishnuvardhan
AB Shults
AB Sina
ABC-TV
AC Bullpen
AC Farley
AC Hollingsworth
AC Hollingsworth [as Holly]
AC Osorio
AC Smith
AC Weisbecker
ACHollingsworth
ACO
ACT-UP
AD
AD Carter [as Ad Carter]
AD Condo
AD Coulter
AD Kiefer
AD Reed
AD Salyer
ADR
AE Hayward
AE Sargent [as Sarge]
AE Van Vogt
AE Williams
AE van Vogt
AFH
AG Howard
AH Anderson
AH Young
AIM
AIR
AJ
AJ Casperite
AJ Fierro
AJ Fulcher
AJ Glasser
AJ Jothikumar
AJ Kent
AJ Lieberman
AJH
AL
AL Alexander
